rank, title, artist, gender, year, critic_name, critic_rols, critic_country, critic_country2
4, Quiet Storm (Remix ft. Lil Kim), Mobb Deep, male, 1999, Georgette Cline, XXL, US, 
5, Mona Lisa, Slick Rick, male, 1988, Georgette Cline, XXL, US, 
1, Walk This Way, Run DMC, male, 1986, Andy Cohn, The FADER, US, 
2, Juicy, The Notorious B.I.G., male, 1994, Andy Cohn, The FADER, US, 
3, N.Y. State Of Mind, Nas, male, 1994, Andy Cohn, The FADER, US, 
4, Straight Outta Compton, NWA, male, 1988, Andy Cohn, The FADER, US, 
5, Changes, 2Pac ft. Talent, male, 1998, Andy Cohn, The FADER, US, 
1, Triumph, Wu-Tang Clan, male, 1997, Onyx Collective, Artist, US, 
2, The What, The Notorious B.I.G. ft. Method Man, male, 1994, Onyx Collective, Artist, US, 
3, Put It On, Big L, male, 1995, Onyx Collective, Artist, US, 
4, Can I Live, JAY-Z, male, 1996, Onyx Collective, Artist, US, 
5, N.Y. State Of Mind, Nas, male, 1994, Onyx Collective, Artist, US, 
1, The Message, Grandmaster Flash & The Furious Five, male, 1982, Common, Artist, US, 
2, Scenario, A Tribe Called Quest, male, 1991, Common, Artist, US, 
3, Juicy, The Notorious B.I.G., male, 1994, Common, Artist, US, 
4, They Reminisce Over You (T.R.O.Y.), Pete Rock & C.L. Smooth, male, 1992, Common, Artist, US, 
5, Doo Wop (That Thing), Lauryn Hill, female, 1998, Common, Artist, US, 
1, Fight The Power, Public Enemy, male, 1989, Dave ‘Davey D’ Cook, DJ, US, 
2, 93 ’Til Infinity, Souls of Mischief, male, 1993, Dave ‘Davey D’ Cook, DJ, US, 
3, They Reminisce Over You (T.R.O.Y.), Pete Rock & C.L. Smooth, male, 1992, Dave ‘Davey D’ Cook, DJ, US, 
4, Have a Nice Day, Roxanne Shante, female, 1989, Dave ‘Davey D’ Cook, DJ, US, 
5, Protect Ya Neck, Wu-Tang Clan, male, 1992, Dave ‘Davey D’ Cook, DJ, US, 
1, m.A.A.d. city, Kendrick Lamar, male, 2012, Philip Cosores, Uproxx, US, 
2, Ultralight Beam, Kanye West, male, 2016, Philip Cosores, Uproxx, US, 
3, Hahahaha jk?, Das Racist, male, 2010, Philip Cosores, Uproxx, US, 
4, 1 Train, ASAP Rocky, male, 2013, Philip Cosores, Uproxx, US, 
5, Da Mystery Of Chessboxin', Wu-Tan Clan, male, 1993, Philip Cosores, Uproxx, US, 
1, International Players Anthem, UGK ft. OutKast, male, 2007, Taylor Crumpton, Critic, US, 
2, Marcy Me, JAY-Z, male, 2017, Taylor Crumpton, Critic, US, 
3, Learned from Texas, BIG K.R.I.T, male, 2019, Taylor Crumpton, Critic, US, 
4, I Wonder, Kanye West, male, 2007, Taylor Crumpton, Critic, US, 
5, Realer, Megan Thee Stallion, female, 2019, Taylor Crumpton, Critic, US, 
1, Protect Ya Neck, Wu-Tang Clan, male, 1992, Cam Curran, Styles Upon Styles Records, US, 
2, The Bridge Is Over, BDP, male, 1987, Cam Curran, Styles Upon Styles Records, US, 
3, Fuck Tha Police, NWA, male, 1988, Cam Curran, Styles Upon Styles Records, US, 
4, A Milli, Lil Wayne, male, 2008, Cam Curran, Styles Upon Styles Records, US, 
5, Fuck Wit Dre Day (And Everybody’s Celebratin’), Dr Dre ft. Snoop Doggy Dogg, male, 1993, Cam Curran, Styles Upon Styles Records, US, 
1, California Love, 2Pac ft. Dr Dre, male, 1996, Ross Devlin, Critic, US, 
2, Dirt Off Your Shoulder, JAY-Z, male, 2003, Ross Devlin, Critic, US, 
3, Alright, Kendrick Lamar, male, 2015, Ross Devlin, Critic, US, 
4, Can I Kick It, A Tribe Called Quest, male, 1990, Ross Devlin, Critic, US, 
5, Jesus Walks, Kanye West, male, 2004, Ross Devlin, Critic, US, 
1, Guess Who’s Back, Rakim, male, 1997, Stephen Dowling, BBC Music, UK, 
2, Passin’ Me By, The Pharcyde, male, 1992, Stephen Dowling, BBC Music, UK, 
3, Still D.R.E., Dr Dre ft. Snoop Dogg, male, 1999, Stephen Dowling, BBC Music, UK, 
4, Puppet Master, Dr Dre ft. B-Real, male, 1997, Stephen Dowling, BBC Music, UK, 
5, Concrete Schoolyard, Jurassic 5, male, 1998, Stephen Dowling, BBC Music, UK, 
1, Passin’ Me By, The Pharcyde, male, 1992, Damola Durosomo, OkayAfrica, US, 
2, Electric Relaxation, A Tribe Called Quest, male, 1993, Damola Durosomo, OkayAfrica, US, 
3, Real, Lupe Fiasco, male, 2006, Damola Durosomo, OkayAfrica, US, 
4, SpottieOttieDopaliscious, Outkast, male, 1998, Damola Durosomo, OkayAfrica, US, 
5, Party Life, JAY-Z, male, 2007, Damola Durosomo, OkayAfrica, US, 
1, Planet Rock, Afrika Bambaataa & The Soulsonic Force, male, 1982, Hiroshi Egaitsu, Critic, Japan, 
2, The Message, Grandmaster Flash & The Furious Five, male, 1982, Hiroshi Egaitsu, Critic, Japan, 
3, Hip Hop, Dead Prez, male, 2000, Hiroshi Egaitsu, Critic, Japan, 
4, Jesus Walks, Kanye West, male, 2004, Hiroshi Egaitsu, Critic, Japan, 
5, Shinjitsu No Dangan, King Giddra, male, 1995, Hiroshi Egaitsu, Critic, Japan, 
1, Nature of the Threat, Ras Kass, male, 1996, Brother Ernie, Photographer, US, 
2, New World Water, Yasiin Bey (Mos Def), male, 1999, Brother Ernie, Photographer, US, 
3, Dr Aden, BOB, male, 2011, Brother Ernie, Photographer, US, 
4, U.N.I.T.Y., Queen Latifah, female, 1993, Brother Ernie, Photographer, US, 
5, O.P.P., Naughty By Nature, male, 1991, Brother Ernie, Photographer, US, 
1, Rapper’s Delight, Sugarhill Gang, male, 1979, Julio César Escovar, Producer, Colombia, 
2, Walk This Way, Run DMC, male, 1986, Julio César Escovar, Producer, Colombia, 
3, You Got Me, The Roots ft. Erykah Badu, mixed, 1999, Julio César Escovar, Producer, Colombia, 
4, My Name Is, Eminem, male, 1999, Julio César Escovar, Producer, Colombia, 
5, Gold Digger, Kanye West ft. Jamie Foxx, male, 2005, Julio César Escovar, Producer, Colombia, 
1, Hip Hop, Dead Prez, male, 2000, Laurent Fintoni, Critic, US, 
2, Je Danse Le Mia, IAM, male, 1994, Laurent Fintoni, Critic, US, 
3, Mic Check, Aceyalone, male, 1995, Laurent Fintoni, Critic, US, 
4, Tried by 12, East Flatbush Project, male, 1996, Laurent Fintoni, Critic, US, 
5, Elevators (Me & You), OutKast, male, 1996, Laurent Fintoni, Critic, US, 
1, Party Up (Up In Here), DMX, male, 1999, Larry Fitzmaurice, The FADER, US, 
2, Da Rockwilder, Method Man and Redman, male, 1999, Larry Fitzmaurice, The FADER, US, 
3, Livin’ It Up, Ja Rule ft. Case, male, 2001, Larry Fitzmaurice, The FADER, US, 
4, I Luv U, Dizzee Rascal, male, 2003, Larry Fitzmaurice, The FADER, US, 
5, Gucci Gucci, Kreayshawn, female, 2011, Larry Fitzmaurice, The FADER, US, 
1, Nuthin’ But A ‘G’ Thang, Dr Dre ft. Snoop Doggy Dogg, male, 1992, Brendan Frederick, Genius, US, 
2, Shook Ones (Part II), Mobb Deep, male, 1995, Brendan Frederick, Genius, US, 
3, Elevators (Me & You), OutKast, male, 1996, Brendan Frederick, Genius, US, 
4, La Di Da Di, Doug E Fresh & The Get Fresh Crew, male, 1985, Brendan Frederick, Genius, US, 
5, Where I’m From, JAY-Z, male, 1997, Brendan Frederick, Genius, US, 
1, The Message, Grandmaster Flash & The Furious Five, male, 1982, Simon Frantz, BBC Music, US, 
2, Planet Rock, Afrika Bambaataa & The Soulsonic Force, male, 1982, Simon Frantz, BBC Music, US, 
3, Paid In Full, Eric B & Rakim, male, 1987, Simon Frantz, BBC Music, US, 
4, Nuthin’ But A ‘G’ Thang, Dr Dre ft. Snoop Doggy Dogg, male, 1992, Simon Frantz, BBC Music, US, 
5, U.N.I.T.Y., Queen Latifah, female, 1993, Simon Frantz, BBC Music, US, 
1, Sucker MCs, Run DMC, male, 1984, Sasha Frere-Jones, Critic, US, 
2, Rosa Parks, OutKast, male, 1998, Sasha Frere-Jones, Critic, US, 
3, Mask Off, Future, male, 2017, Sasha Frere-Jones, Critic, US, 
4, Where I’m From, JAY-Z, male, 1997, Sasha Frere-Jones, Critic, US, 
5, Warning, The Notorious B.I.G., male, 1994, Sasha Frere-Jones, Critic, US, 
1, N.Y. State Of Mind, Nas, male, 1994, Nick Fulton, Critic, New Zealand, 
2, Doo Wop (That Thing), Lauryn Hill, female, 1998, Nick Fulton, Critic, New Zealand, 
3, Jesus Walks, Kanye West, male, 2004, Nick Fulton, Critic, New Zealand, 
4, C.R.E.A.M., Wu-Tang Clan, male, 1993, Nick Fulton, Critic, New Zealand, 
5, Grindin’, Clipse, male, 2002, Nick Fulton, Critic, New Zealand, 
1, Runaway, Kanye West ft. Pusha T, male, 2010, Viola Funk, Critic, Germany, 
2, I Heard, Young Fathers, male, 2013, Viola Funk, Critic, Germany, 
3, Swimming Pools (Drank), Kendrick Lamar, male, 2012, Viola Funk, Critic, Germany, 
4, Goosebumps, Travis Scott ft. Kendrick Lamar, male, 2016, Viola Funk, Critic, Germany, 
5, God’s Plan, Drake, male, 2018, Viola Funk, Critic, Germany, 
1, Brenda’s Got A Baby, 2Pac, male, 1991, Polla Garmiany, Critic, Germany, Kurdistan
2, U.N.I.T.Y., Queen Latifah, female, 1993, Polla Garmiany, Critic, Germany, Kurdistan
3, The Story Of OJ, JAY-Z, male, 2017, Polla Garmiany, Critic, Germany, Kurdistan
4, Ms Jackson, OutKast, male, 2000, Polla Garmiany, Critic, Germany, Kurdistan
5, It Was A Good Day, Ice Cube, male, 1992, Polla Garmiany, Critic, Germany, Kurdistan
1, C.R.E.A.M., Wu-Tang Clan, male, 1993, Dan Green, Clockwork Music, US, 
2, Life’s A Bitch, Nas ft. A.Z., male, 1994, Dan Green, Clockwork Music, US, 
3, Mass Appeal, Gang Starr, male, 1994, Dan Green, Clockwork Music, US, 
4, Nuthin’ But A ‘G’ Thang, Dr Dre ft. Snoop Doggy Dogg, male, 1992, Dan Green, Clockwork Music, US, 
5, Juicy, The Notorious B.I.G., male, 1994, Dan Green, Clockwork Music, US, 
1, Straight Outta Compton (Extended Mix), NWA, male, 1989, Zack O'Malley Greenburg, Forbes, US, 
2, One Mic, Nas, male, 2001, Zack O'Malley Greenburg, Forbes, US, 
3, Monster, Kanye West, male, 2010, Zack O'Malley Greenburg, Forbes, US, 
4, Hypnotize, The Notorious B.I.G., male, 1997, Zack O'Malley Greenburg, Forbes, US, 
5, The Message, Grandmaster Flash & The Furious Five, male, 1982, Zack O'Malley Greenburg, Forbes, US, 
1, Fight The Power, Public Enemy, male, 1989, Rob Harvilla, The Ringer, US, 
2, The Message, Grandmaster Flash & The Furious Five, male, 1982, Rob Harvilla, The Ringer, US, 
3, Work It, Missy Elliott, female, 2002, Rob Harvilla, The Ringer, US, 
4, Wu-Tang Clan Ain’t Nuthing Ta Fuck Wit, Wu-Tang Clan, male, 1993, Rob Harvilla, The Ringer, US, 
5, Throw Some D’s, Rich Boy, male, 2007, Rob Harvilla, The Ringer, US, 
1, Umoya, Skwatta Kamp, male, 2003, Helen Herimbi, Critic, South Africa, 
2, Soweto, ProKid, male, 2005, Helen Herimbi, Critic, South Africa, 
3, U.N.I.T.Y., Queen Latifah, female, 1993, Helen Herimbi, Critic, South Africa, 
4, Sim Dope, AKA, male, 2014, Helen Herimbi, Critic, South Africa, 
5, Regrets, JAY-Z, male, 1996, Helen Herimbi, Critic, South Africa, 
1, B.O.B., OutKast, male, 2000, Hrishikesh Hirway, Song Exploder, US, 
2, Alright, Kendrick Lamar, male, 2015, Hrishikesh Hirway, Song Exploder, US, 
3, No Church in the Wild, JAY-Z & Kanye West, male, 2011, Hrishikesh Hirway, Song Exploder, US, 
4, Respiration, Black Star ft. Common, male, 1998, Hrishikesh Hirway, Song Exploder, US, 
5, Bring Da Ruckus, Wu-Tang Clan, male, 1993, Hrishikesh Hirway, Song Exploder, US, 
1, Shook Ones (Part II), Mobb Deep, male, 1995, Ethan Holben, BBC Music, US, 
2, N.Y. State Of Mind, Nas, male, 1994, Ethan Holben, BBC Music, US, 
3, They Reminisce Over You (T.R.O.Y.), Pete Rock & C.L. Smooth, male, 1992, Ethan Holben, BBC Music, US, 
4, Nuthin’ But A ‘G’ Thang, Dr Dre ft. Snoop Doggy Dogg, male, 1992, Ethan Holben, BBC Music, US, 
5, Bitch Don’t Kill My Vibe, Kendrick Lamar, male, 2012, Ethan Holben, BBC Music, US, 
1, Runaway, Kanye West ft. Pusha T, male, 2010, Charles Holmes, Rolling Stone, US, 
2, Flava, Rich Gang, male, 2014, Charles Holmes, Rolling Stone, US, 
3, Rosa Parks, OutKast, male, 1998, Charles Holmes, Rolling Stone, US, 
4, La La La, Lil Wayne, male, 2007, Charles Holmes, Rolling Stone, US, 
5, Heart Of The City (Ain’t No Love), JAY-Z, male, 2001, Charles Holmes, Rolling Stone, US, 
1, Passin’ Me By, The Pharcyde, male, 1992, Leslie Horn, Noisey/Vice, US, 
2, Electric Relaxation, A Tribe Called Quest, male, 1993, Leslie Horn, Noisey/Vice, US, 
3, SpottieOttieDopaliscious, Outkast, male, 1998, Leslie Horn, Noisey/Vice, US, 
4, Party Life, JAY-Z, male, 2007, Leslie Horn, Noisey/Vice, US, 
5, Real, Lupe Fiasco, male, 2006, Leslie Horn, Noisey/Vice, US, 
1, Sideways, E-40 feat B-Legit & Mac Shon, male, 1995, Vivian Host, Radio Personality and Critic, US, 
2, Shook Ones (Part II), Mobb Deep, male, 1995, Vivian Host, Radio Personality and Critic, US, 
3, Get Money, Junior M.A.F.I.A. ft. The Notorious B.I.G., male, 1995, Vivian Host, Radio Personality and Critic, US, 
4, Straight Outta Compton, NWA, male, 1988, Vivian Host, Radio Personality and Critic, US, 
5, Nuthin’ But A ‘G’ Thang, Dr Dre ft. Snoop Doggy Dogg, male, 1992, Vivian Host, Radio Personality and Critic, US, 
1, D’Evils, JAY-Z, male, 1996, Kathy Iandoli, Critic, US, 
2, Lost Ones, Lauryn Hill, female, 1998, Kathy Iandoli, Critic, US, 
3, Queen Bitch, Lil’ Kim, female, 1996, Kathy Iandoli, Critic, US, 
4, Quiet Storm (Remix), Mobb Deep ft. Lil’ Kim, mixed, 1999, Kathy Iandoli, Critic, US, 
5, Da Art of Storytellin’ (Pt. 2), OutKast, male, 1998, Kathy Iandoli, Critic, US, 
1, If I Ruled The World (Imagine That), Nas ft. Lauryn Hill, mixed, 1996, Antoinette Isama, OkayAfrica, US, 
2, Woo Hah!! Got You All In Check, Busta Rhymes, male, 1996, Antoinette Isama, OkayAfrica, US, 
3, Electric Relaxation, A Tribe Called Quest, male, 1993, Antoinette Isama, OkayAfrica, US, 
4, The Rain (Supa Dupa Fly), Missy Elliott, female, 1997, Antoinette Isama, OkayAfrica, US, 
5, Elevators (Me & You), OutKast, male, 1996, Antoinette Isama, OkayAfrica, US, 
1, 93 ’Til Infinity, Souls of Mischief, male, 1993, Reed Jackson, Critic, US, 
2, Slippin', DMX, male, 1998, Reed Jackson, Critic, US, 
3, Love Is…, Common, male, 2005, Reed Jackson, Critic, US, 
4, Keep It On The Real, 3X Krazy, male, 1997, Reed Jackson, Critic, US, 
5, Clear Blue Skies, Juggaknots, mixed, 1996, Reed Jackson, Critic, US, 
1, Juicy, The Notorious B.I.G., male, 1994, Nadia Jae, BBC Radio 1Xtr, UK, 
2, Hit ’Em Up, 2Pac, male, 1996, Nadia Jae, BBC Radio 1Xtr, UK, 
3, Just A Moment, Nas ft. Quan, male, 2005, Nadia Jae, BBC Radio 1Xtr, UK, 
4, Hold You Down, Alchemist ft. Nina Sky & Prodigy & Illa Ghee, mixed, 2004, Nadia Jae, BBC Radio 1Xtr, UK, 
5, Déjà Vu (Uptown Baby), Lord Tariq & Peter Gunz, male, 1998, Nadia Jae, BBC Radio 1Xtr, UK, 
1, C.R.E.A.M., Wu-Tang Clan, male, 1993, J'na Jefferson, Critic, US, 
2, I’ll Be Missing You, Puff Daddy ft. Faith Evans and 112, mixed, 1997, J'na Jefferson, Critic, US, 
3, International Players Anthem, UGK ft. OutKast, male, 2007, J'na Jefferson, Critic, US, 
4, Stan, Eminem ft. Dido, mixed, 2000, J'na Jefferson, Critic, US, 
5, Jesus Walks, Kanye West, male, 2004, J'na Jefferson, Critic, US, 
1, Juicy, The Notorious B.I.G., male, 1994, Brian Josephs, Critic, US, 
2, Nuthin’ But A ‘G’ Thang, Dr Dre ft. Snoop Doggy Dogg, male, 1992, Brian Josephs, Critic, US, 
3, Jesus Walks, Kanye West, male, 2004, Brian Josephs, Critic, US, 
4, N.Y. State Of Mind, Nas, male, 1994, Brian Josephs, Critic, US, 
5, C.R.E.A.M., Wu-Tang Clan, male, 1993, Brian Josephs, Critic, US, 
1, Fuck Tha Police, NWA, male, 1988, Bhanuj Kappal, Critic, India, 
2, Fight The Power, Public Enemy, male, 1989, Bhanuj Kappal, Critic, India, 
3, Bring Da Ruckus, Wu-Tang Clan, male, 1993, Bhanuj Kappal, Critic, India, 
4, I've Seen Footage, Death Grips, male, 2012, Bhanuj Kappal, Critic, India, 
5, Alright, Kendrick Lamar, male, 2015, Bhanuj Kappal, Critic, India, 
1, Memory Lane (Sittin’ in da Park), Nas, male, 1994, Mayuyuka Kaunda, Critic, South Africa, 
2, God’s Eye, Stogie T, male, 2018, Mayuyuka Kaunda, Critic, South Africa, 
3, Mo(u)rning, Akua Naru, female, 2012, Mayuyuka Kaunda, Critic, South Africa, 
4, They Reminisce Over You (T.R.O.Y.), Pete Rock & C.L. Smooth, male, 1992, Mayuyuka Kaunda, Critic, South Africa, 
5, 93 ’Til Infinity, Souls of Mischief, male, 1993, Mayuyuka Kaunda, Critic, South Africa, 
1, Juicy, The Notorious B.I.G., male, 1994, William E. Ketchum III, Vibe, US, 
2, Fight The Power, Public Enemy, male, 1989, William E. Ketchum III, Vibe, US, 
3, Shook Ones (Part II), Mobb Deep, male, 1995, William E. Ketchum III, Vibe, US, 
4, They Reminisce Over You (T.R.O.Y.), Pete Rock & C.L. Smooth, male, 1992, William E. Ketchum III, Vibe, US, 
5, Nuthin’ But A ‘G’ Thang, Dr Dre ft. Snoop Doggy Dogg, male, 1992, William E. Ketchum III, Vibe, US, 
1, Juicy, The Notorious B.I.G., male, 1994, Sowmya Krishnamurthy, Critic, US, 
2, Dear Mama, 2Pac, male, 1995, Sowmya Krishnamurthy, Critic, US, 
3, Hard Knock Life, JAY-Z, male, 1998, Sowmya Krishnamurthy, Critic, US, 
4, C.R.E.A.M., Wu-Tang Clan, male, 1993, Sowmya Krishnamurthy, Critic, US, 
5, Shook Ones (Part II), Mobb Deep, male, 1995, Sowmya Krishnamurthy, Critic, US, 
1, All Of The Lights, Kanye West ft. Rihanna & Kid Cudi, male, 2010, Kish Lal, Critic, US, 
2, Day 'N' Nite, Kid Cudi, male, 2008, Kish Lal, Critic, US, 
3, Country Grammar, Nelly, male, 2000, Kish Lal, Critic, US, 
